Predator Count,Condition Number,Condition
1,1,baseline
1,2,separation_minimum
1,3,separation_medium
1,4,separation_maximum
1,5,alignment_minimum
1,6,alignment_medium
1,7,alignment_maximum
1,8,cohesion_minimum
1,9,cohesion_medium
1,10,cohesion_maximum
1,11,fear_minimum
1,12,fear_medium
1,13,fear_maximum
1,14,contagion_minimum
1,15,contagion_medium
1,16,contagion_maximum
1,17,noise_minimum
1,18,noise_medium
1,19,noise_maximum
25,1,baseline
25,2,separation_minimum
25,3,separation_medium
25,4,separation_maximum
25,5,alignment_minimum
25,6,alignment_medium
25,7,alignment_maximum
25,8,cohesion_minimum
25,9,cohesion_medium
25,10,cohesion_maximum
25,11,fear_minimum
25,12,fear_medium
25,13,fear_maximum
25,14,contagion_minimum
25,15,contagion_medium
25,16,contagion_maximum
25,17,noise_minimum
25,18,noise_medium
25,19,noise_maximum
